30 35 32 32 31 24 36 34 35 40 34 34 33 28 29 22 20 29 31 33 35 30 25 32 37 29 30 27 34 35 31 38 34 37 27 27 29 33 28 36 33 42 42 31 35 35 35 39 34 37 34 32 26 36 31 24 23 30 29 26
32 24 21 26 35 26 27 28 31 34 31 30 24 32 38 22 24 29 25 29 34 29 28 29 32 25 32 28 33 33 30 26 25 33 31 30 35 36 35 33 28 30 33 34 33 34 29 41 41 37 34 32 28 33 32 27 21 29 35 34
31 29 22 24 25 31 28 34 35 37 33 36 31 35 33 29 28 35 21 20 27 33 36 29 32 31 35 31 25 29 33 31 33 37 38 39 35 29 33 31 26 27 24 37 35 26 27 37 37 34 32 30 29 30 28 29 33 28 30 34
34 24 35 36 23 33 35 29 30 32 32 32 30 22 28 31 25 26 25 25 28 31 40 37 31 32 42 31 30 24 25 37 35 32 34 32 28 31 37 32 29 26 34 36 28 26 31 33 34 37 32 33 32 29 25 31 28 33 28 28
23 20 29 34 30 31 29 28 26 20 24 31 31 19 30 36 28 24 18 26 25 29 39 33 32 38 34 29 30 30 28 31 33 32 29 34 35 37 43 39 35 34 37 33 19 29 32 31 32 32 36 34 33 36 31 34 24 30 27 31
22 24 34 33 34 30 24 25 22 21 19 24 38 36 38 32 30 24 23 28 30 36 38 33 37 40 33 32 23 28 31 29 33 28 38 42 45 38 33 32 37 41 42 37 26 28 28 27 32 34 36 34 31 37 29 26 28 35 30 37
29 31 38 28 35 31 23 33 24 32 31 25 32 27 34 31 35 37 37 28 30 37 37 33 29 34 32 29 24 28 34 30 31 31 30 35 45 40 34 33 34 39 33 37 31 23 34 31 38 31 25 35 32 35 26 25 30 29 31 32
36 40 28 28 32 32 24 31 26 37 32 30 30 29 33 30 36 29 24 25 25 28 29 25 21 31 33 33 28 31 33 29 30 36 36 37 47 42 32 30 32 29 28 23 25 25 35 32 33 30 23 33 22 27 29 35 33 18 21 25
29 26 32 34 30 40 41 25 21 34 37 40 39 41 33 27 28 23 22 30 25 27 30 35 34 29 37 35 26 24 28 36 42 39 25 35 42 41 38 33 35 31 39 29 25 32 30 37 36 35 27 32 23 22 27 36 38 32 24 28
37 35 34 30 31 34 44 31 29 36 38 30 38 35 23 30 30 30 32 33 26 24 27 37 33 31 32 27 34 36 31 39 42 35 24 38 33 36 39 31 37 39 25 28 30 37 28 37 34 37 34 35 38 30 31 38 33 34 39 32
36 33 26 38 35 38 36 30 33 30 26 25 34 37 35 26 26 23 27 25 26 32 38 37 40 28 26 28 26 33 32 41 50 45 30 43 45 45 30 30 35 43 25 34 33 36 35 37 30 31 29 27 24 24 25 24 31 25 32 32
24 24 26 34 34 35 29 21 23 33 31 26 28 37 38 24 32 27 36 37 33 24 28 37 34 28 31 33 27 35 30 35 47 43 37 42 43 48 41 40 35 37 32 21 27 39 35 40 32 26 26 21 19 22 25 18 23 29 36 31
28 30 35 29 30 38 39 33 21 26 32 33 26 29 33 21 34 36 37 26 19 21 25 34 40 34 35 41 38 39 39 46 49 49 52 44 42 47 41 42 44 44 30 32 25 30 27 30 30 20 27 27 29 29 33 23 22 22 25 25
35 33 31 32 36 42 38 28 21 22 28 34 31 24 28 24 24 25 25 30 32 33 41 37 34 42 41 46 49 49 52 51 49 57 57 50 46 45 34 34 40 32 34 34 39 35 31 35 29 34 25 25 31 30 27 27 29 24 39 28
35 35 30 36 43 50 41 27 28 23 26 26 33 28 22 24 23 31 25 28 40 39 39 43 37 39 46 51 53 55 55 51 60 58 55 49 43 38 33 35 39 27 34 33 34 32 22 29 34 32 31 30 34 32 26 27 31 35 40 35
26 33 31 31 35 38 35 33 33 27 34 30 30 29 30 36 29 31 29 27 43 46 35 42 42 44 54 52 57 58 58 58 60 53 52 43 43 35 31 40 42 35 30 30 26 26 27 32 34 32 31 35 34 32 30 30 32 36 35 39
34 27 26 28 34 35 31 38 36 30 32 32 28 35 39 36 27 24 31 30 38 37 40 43 41 52 59 47 49 56 62 62 52 53 46 41 44 37 33 42 41 29 30 23 24 25 31 33 23 31 44 36 31 35 31 24 27 31 33 33
40 23 24 30 34 39 28 29 37 38 27 36 32 31 31 34 37 30 33 33 32 24 38 38 43 55 57 53 40 49 57 56 52 45 47 36 33 33 41 49 47 43 33 24 29 37 30 29 28 21 28 34 27 23 28 26 28 29 32 36
30 29 27 32 31 29 37 38 42 38 29 34 33 27 31 33 29 42 39 31 29 32 48 45 37 45 42 58 53 51 56 55 47 38 39 31 25 36 43 43 37 38 27 31 33 38 37 29 35 32 27 31 32 23 18 28 29 35 31 36
29 34 33 30 24 20 32 39 37 36 20 31 31 28 29 30 24 34 40 34 35 35 49 51 49 51 54 60 55 46 45 50 44 35 31 30 28 36 34 32 39 33 27 33 32 37 33 32 41 36 33 30 32 29 31 30 30 32 30 27
35 28 27 26 39 32 26 37 35 41 37 42 30 28 32 29 23 33 45 40 41 46 49 43 47 52 52 53 53 49 38 36 39 31 31 34 35 34 33 28 38 40 33 33 29 34 27 30 36 28 34 37 35 32 29 27 27 39 39 30
39 31 33 34 40 31 31 34 38 29 30 31 31 32 32 32 33 33 33 31 43 55 46 33 38 47 41 48 46 45 44 30 27 28 36 28 32 30 36 37 34 40 40 34 29 32 30 27 27 26 30 38 35 33 28 24 20 39 40 28
34 34 41 42 37 22 31 33 37 26 24 27 32 25 26 36 33 26 23 30 37 40 39 43 46 49 48 47 42 41 45 33 28 29 43 24 29 32 33 39 35 31 38 36 36 35 39 30 24 30 33 34 36 34 29 31 31 29 32 33
